8 300 40
0 4 5 25
2 1 4 81
1 5 2 60
3 5 1 29
2 3 5 30
4 5 1 76
4 4 3 64
3 7 1 49
1 5 4 51
1 6 1 41
0 3 3 100
2 2 7 90
0 3 5 40
4 5 2 45
4 2 5 96
4 6 1 54
2 4 2 34
2 1 8 51
2 7 2 65
0 4 2 44
1 8 1 39
3 2 3 75
0 4 4 66
1 3 4 64
4 8 1 54
0 1 5 1
3 8 1 59
2 3 5 35
1 3 1 24
3 5 4 38
2 4 2 25
4 4 2 92
0 1 5 31
1 6 3 74
2 6 2 71
2 7 1 28
2 2 4 2
2 5 3 79
1 1 6 66
1 3 5 69
1 7 2 86
2 1 4 55
0 2 3 40
3 1 4 73
3 7 1 62
3 2 7 37
4 3 4 75
3 8 1 20
0 2 6 6
1 8 1 54
1 3 6 86
3 8 1 68
2 1 3 94
1 4 4 68
1 2 7 62
2 1 6 11
4 3 5 67
4 5 4 25
0 1 3 94
2 4 5 100
2 8 1 36
3 3 2 61
1 7 1 22
2 8 1 40
2 1 4 49
1 7 1 30
1 4 2 71
1 6 3 82
2 5 4 35
4 8 1 98
1 1 3 8
2 4 1 98
1 4 4 1
0 7 1 53
4 5 3 21
0 4 5 52
0 7 1 75
0 2 4 29
2 8 1 74
2 6 2 57
0 5 3 10
0 3 1 100
1 2 6 92
2 8 1 36
1 6 3 25
1 2 7 74
1 4 1 66
2 4 3 90
4 3 1 16
0 5 3 29
0 6 1 100
2 1 6 1
0 2 1 60
2 6 3 31
1 6 1 31
1 8 1 35
0 6 1 44
2 4 5 23
1 6 2 82
2 8 1 92
1 4 3 56
1 8 1 86
1 5 3 46
0 1 2 42
1 6 3 56
4 1 3 79
0 3 6 5
1 4 4 7
0 3 1 49
0 7 2 6
3 1 1 13
4 7 2 87
0 3 1 10
4 2 7 31
1 6 2 61
3 5 1 8
0 7 1 84
1 3 6 7
0 3 3 6
2 3 2 68
3 6 2 9
1 1 3 69
0 6 1 43
3 3 5 46
2 8 1 35
1 5 1 49
1 1 3 92
1 4 5 91
1 6 1 86
1 5 2 28
2 4 3 62
3 6 2 82
3 7 2 5
1 3 4 17
4 5 3 67
1 2 1 95
1 3 1 80
3 7 2 45
3 6 1 94
2 7 2 91
0 3 3 47
4 7 2 38
4 6 2 44
2 5 1 80
2 6 2 30
2 5 1 14
2 6 1 35
2 5 3 64
4 4 5 90
1 1 3 72
3 5 1 6
4 6 3 15
2 5 4 55
2 1 2 93
3 3 4 85
4 8 1 8
0 2 2 51
0 7 1 44
4 8 1 25
2 4 5 87
3 2 5 84
0 2 2 89
3 5 4 9
4 8 1 12
0 6 3 57
0 3 3 85
3 1 8 89
4 7 2 64
0 5 3 43
3 1 1 14
0 5 4 6
1 6 1 30
2 7 2 57
0 4 2 11
0 7 2 23
1 7 2 14
4 4 3 99
1 4 5 61
1 2 1 12
3 1 4 61
4 5 3 21
4 2 5 42
1 3 2 66
3 5 2 69
3 1 6 68
4 5 1 69
1 4 3 24
1 1 2 81
2 8 1 43
3 6 2 14
4 4 2 94
0 7 1 74
1 3 6 82
0 3 6 50
2 3 1 65
0 7 1 2
2 1 8 78
0 6 1 16
0 1 4 87
2 7 2 24
0 2 6 82
3 7 1 36
3 7 1 3
4 1 3 49
4 7 2 30
3 4 3 7
3 5 2 10
4 5 3 80
3 7 1 87
2 7 2 24
0 1 8 26
3 1 6 9
1 2 5 44
0 8 1 75
3 5 2 90
3 7 2 12
3 8 1 77
4 5 1 89
2 8 1 94
1 7 2 62
0 2 7 51
3 8 1 1
0 3 2 55
0 7 2 82
0 7 1 57
1 8 1 59
0 5 3 48
2 1 2 24
3 8 1 95
1 6 2 71
4 6 1 45
4 4 4 93
3 3 2 89
3 1 8 18
2 6 2 35
2 1 3 40
1 3 4 8
3 1 1 11
4 6 2 81
4 7 1 17
4 5 2 87
2 6 2 7
3 5 4 55
2 6 3 85
3 3 2 75
1 1 5 96
4 3 1 42
0 6 1 63
1 4 2 10
1 1 8 37
2 1 5 37
4 8 1 43
0 8 1 18
4 7 1 7
3 6 2 92
2 3 6 97
0 8 1 87
2 2 4 32
2 2 6 96
4 7 2 30
1 3 1 15
0 2 6 39
0 6 1 3
2 5 4 26
4 1 2 4
3 7 1 20
0 1 5 44
4 4 3 19
4 2 5 62
3 2 1 96
1 3 1 36
0 4 4 59
0 7 1 35
2 2 6 26
3 5 4 61
1 6 3 17
1 8 1 17
0 7 2 26
3 5 3 94
2 1 2 93
1 3 5 100
4 1 7 44
4 6 2 15
1 5 2 92
0 2 5 86
2 1 6 77
1 5 1 65
4 3 5 1
2 4 1 37
3 7 1 92
1 4 2 15
4 2 6 96
1 2 1 80
1 1 6 18
4 2 2 41
3 2 7 26
1 2 5 24
2 1 7 82
1 7 2 4
2 3 6 22
