90002 150000
1 47816 1
47816 507 1
507 20270 1
20270 79506 1
79506 54651 1
54651 51100 1
51100 35376 1
35376 8151 1
8151 15824 1
15824 23803 1
23803 2192 1
2192 67639 1
67639 3947 1
3947 38709 1
38709 36886 1
36886 86877 1
86877 72061 1
72061 69472 1
69472 62344 1
62344 4409 1
4409 79965 1
79965 76213 1
76213 78899 1
78899 54643 1
54643 22559 1
22559 53287 1
53287 24694 1
24694 25728 1
25728 48274 1
48274 17529 1
17529 51761 1
51761 83780 1
83780 25343 1
25343 20331 1
20331 74828 1
74828 36625 1
36625 70643 1
70643 40185 1
40185 62469 1
62469 6298 1
6298 43411 1
43411 37179 1
37179 59934 1
59934 85049 1
85049 29421 1
29421 40210 1
40210 60006 1
60006 65078 1
65078 68942 1
68942 73061 1
73061 21423 1
21423 72959 1
72959 32127 1
32127 2333 1
2333 69411 1
69411 78507 1
78507 3375 1
3375 86638 1
86638 59000 1
59000 78350 1
78350 23404 1
23404 77965 1
77965 9987 1
9987 43340 1
43340 25178 1
25178 56657 1
56657 18223 1
18223 77664 1
77664 50859 1
50859 47732 1
47732 18500 1
18500 37771 1
37771 13484 1
13484 73986 1
73986 13746 1
13746 23385 1
23385 67570 1
67570 8309 1
8309 63404 1
63404 28316 1
28316 51923 1
51923 66436 1
66436 10022 1
10022 72152 1
72152 49687 1
49687 66560 1
66560 89483 1
89483 3989 1
3989 65671 1
65671 17305 1
17305 59338 1
59338 80949 1
80949 79166 1
79166 28230 1
28230 16372 1
16372 86609 1
86609 27974 1
27974 39621 1
39621 78060 1
78060 62358 1
62358 28893 1
28893 63825 1
63825 41017 1
41017 25842 1
25842 45124 1
45124 39814 1
39814 4331 1
4331 71733 1
71733 5910 1
5910 54447 1
54447 76689 1
76689 34417 1
34417 4996 1
4996 43259 1
43259 76802 1
76802 34513 1
34513 82956 1
82956 16705 1
16705 32679 1
32679 3148 1
3148 20687 1
20687 39683 1
39683 52617 1
52617 11606 1
11606 12916 1
12916 7625 1
7625 67942 1
67942 84260 1
84260 32196 1
32196 50921 1
50921 26065 1
26065 81202 1
81202 14439 1
14439 26355 1
26355 4939 1
4939 85067 1
85067 10624 1
10624 6412 1
6412 6528 1
6528 1427 1
1427 81201 1
81201 5523 1
5523 60820 1
60820 75256 1
75256 19939 1
19939 88904 1
88904 42507 1
42507 7297 1
7297 65091 1
65091 6367 1
6367 43660 1
43660 22619 1
22619 5869 1
5869 55000 1
55000 28333 1
28333 17879 1
17879 29513 1
29513 76992 1
76992 10882 1
10882 6178 1
6178 37390 1
37390 19978 1
19978 78679 1
78679 5218 1
5218 86173 1
86173 21656 1
21656 65556 1
65556 82206 1
82206 87260 1
87260 44985 1
44985 49435 1
49435 21886 1
21886 23057 1
23057 11307 1
11307 45905 1
45905 9388 1
9388 36190 1
36190 20022 1
20022 41203 1
41203 32004 1
32004 86511 1
86511 74384 1
74384 60846 1
60846 30143 1
30143 72449 1
72449 29376 1
29376 34412 1
34412 29957 1
29957 20632 1
20632 21245 1
21245 72360 1
72360 39460 1
39460 88748 1
88748 2204 1
2204 77516 1
77516 16280 1
16280 32342 1
32342 74687 1
74687 84040 1
84040 2758 1
2758 89039 1
89039 41080 1
41080 52835 1
52835 52619 1
52619 81074 1
81074 17994 1
17994 87650 1
87650 47520 1
47520 11642 1
11642 85758 1
85758 55948 1
55948 5346 1
5346 80089 1
80089 73115 1
73115 18435 1
18435 63811 1
63811 20972 1
20972 61963 1
