200 2037
1 131 10
1 138 460
1 161 363
1 139 266
1 135 164
1 183 290
1 54 144
1 67 270
1 185 369
131 1 184
131 164 20
131 70 110
131 73 247
131 74 339
131 166 183
131 189 79
131 107 418
131 30 404
131 68 416
131 103 99
164 96 30
164 11 234
164 8 226
164 186 288
164 116 1
164 163 183
164 176 212
164 21 78
164 152 92
164 171 242
96 5 40
96 126 200
96 158 147
96 88 445
96 150 343
96 58 421
96 102 40
5 77 50
5 70 91
5 20 65
5 63 153
5 80 144
5 151 404
5 4 283
5 30 202
5 167 260
77 13 60
77 149 163
77 22 255
77 115 288
77 148 346
77 170 457
77 192 295
77 20 264
77 36 376
77 43 74
77 49 329
77 184 414
77 27 363
77 123 153
77 38 443
77 200 217
13 31 70
13 31 116
13 109 19
13 120 217
13 24 392
13 16 36
13 56 444
13 192 164
13 172 209
13 166 74
13 187 439
13 173 254
13 48 440
13 55 137
13 45 1
31 91 80
31 2 196
31 61 128
31 17 184
31 154 225
31 66 147
31 39 222
31 4 335
31 30 210
31 167 311
31 38 129
31 21 92
31 152 381
91 119 90
91 109 36
91 70 233
91 53 411
91 9 438
91 88 263
91 32 414
91 192 144
91 166 79
91 49 166
91 84 7
91 19 161
91 118 361
91 99 238
119 2 100
119 70 226
119 60 149
119 190 19
119 190 316
119 36 279
119 141 46
119 39 170
119 62 152
119 174 87
119 68 282
2 13 223
2 40 110
2 37 397
2 16 378
2 155 410
2 46 215
2 167 266
40 6 120
40 8 338
40 191 182
40 166 258
40 181 302
40 68 142
40 81 114
40 176 395
40 65 233
6 111 130
6 8 324
6 147 230
6 60 21
6 41 128
6 125 308
6 150 236
6 43 452
6 12 398
6 132 371
6 185 356
6 171 351
111 131 14
111 95 140
111 143 460
111 8 415
111 51 68
111 16 167
111 42 261
111 192 430
111 196 132
111 84 382
111 83 232
111 97 365
95 76 150
95 126 383
95 53 301
95 61 364
95 17 419
95 33 98
95 69 309
95 14 361
95 156 85
95 80 387
95 62 103
95 174 370
95 102 171
95 4 196
95 68 385
76 11 160
76 158 263
76 124 262
76 165 141
76 4 436
76 4 443
76 173 218
76 23 9
76 10 5
11 25 170
11 158 379
11 180 220
11 172 39
11 101 232
11 30 376
11 54 75
11 67 296
11 197 124
25 77 125
25 13 316
25 91 202
25 143 180
25 159 355
25 44 432
25 92 218
25 177 270
25 32 343
25 136 459
25 118 92
143 1 351
143 119 122
143 76 245
143 25 14
143 7 190
143 160 304
143 166 66
143 59 211
143 135 120
143 135 394
143 21 347
143 10 426
7 164 394
7 8 28
7 8 200
7 34 400
7 157 121
7 61 425
7 190 439
7 172 16
7 15 16
